Локация,Количество
г. Горячий Ключ,3
г. Азов,3
п. Мирный,3
Сириус,3
Каргапольский  округ,3
Муравленко,3
Лесной,3
Затон,3
ландшафтные пожары,3
Красноборский  округ,3
Парфинский  район,3
Окуловский район,3
Харовский район,3
Бугаёвка,3
Дятьковское лесничество,3
Брянское лесничество,3
Навлинское лесничество,3
выдел 23,3
СНТ 'Васильки',3
СНТ 'Радуга',3
Заокское,3
Красная Яблонька,3
Норовка,3
п. Ряжск,3
д. Быково,3
г. Михайлов,3
Береговое,3
п. Кипенский,3
Озерищенское участковое лесничество,3
Бологовский район,3
СНТ «Коммунальник»,3
город Тутаев,3
Зеленоград,3
Щигровский район,3
г. Ивантеевка,3
Малаховка,3
г. Подольск,3
Солнечногорск район,3
городской округ Фрязино,3
городской округ Чехов,3
Демидовский район,3
Майское,3
Старый Оскол,3
Новоусманский район,3
город Малоярославец,3
город Таруса,3
город Кострома,3
Макарьевский район,3
д. Тяжино,3
городской округ Дзержинский,3
город Кашира,3
Раменское,3
Рузский городский округ,3
городской округ Серебряные Пруды,3
город Ливны,3
Орел,3
Велижский район,3
Тверь,3
Белёвский район,3
Богородицкий район,3
с. Архангельское,3
районный центр,3
с. Ураловка,3
Даниловка,3
Кукелево,3
с. Видное,3
с. Новокуровка,3
с. Архангеловка,3
Оловяннинский район,3
Дульдургинский район,3
город Борзя,3
Кугуки,3
Славянка,3
Краснояровка,3
Бурея,3
р. Кудьма,3
р. Теша,3
Балахнинский район,3
Краснобаковский район,3
Уренское районное лесничество,3
Ува-Туклинское участковое лесничество,3
Горнякское участковое лесничество,3
Нозинское участковое лесничество,3
Керкмасское участковое лесничество,3
Кильмезское участковое лесничество,3
Селыченское участковое лесничество,3
Чуровское участковое лесничество,3
Селычинское участковое лесничество,3
Люкшудьинское участковое лесничество,3
Белохолуницкий район,3
Шемышейка,3
город Салават,3
г. Саратов,3
Новоспасский район,3
Тоншаевский округ,3
Абдулино,3
Акбулакский район,3
Весенний сельсовет,3
Южноуральский сельсовет,3
город Благовещенск,3
Рузаевский  район,3
город Набережные Челны,3
Большая Черниговка,3
Тимофеевка,3
п. Игра,3
с. Яган,3
поселения,3
населённые пункты,3
Ишеевка,3
деревни,3
п. Зеленый Бор,3
Сухая,3
Емельяново,3
Чемальский район,3
Калинино,3
Цахур,3
Казбековский район,3
Агачаул,3
п. Озерный,3
д. Кондратовская,3
г. Новодвинск,3
Город Новодвинск,3
п. Лемты,3
г.Сыктывкар,3
Майская горка,3
Новгородский район,3
Новгородский  район,3
река Великая,3
Беломорский округ,3
резкие перепады температуры,3
город Олонец,3
Карелия,3
Суоярвский  округ,3
Ай-Петри,3
Скворцово,3
Симферопольское лесоохотничье хозяйство,3
область,3
р. Тобол,3
Анненское,3
г. Шадринск,3
с. Каминское,3
с. Труд,3
Закоулово,3
Язево,3
Новоуральский городской округ,3
Билимбай,3
Вагайский район,3
город Нижневартовск,3
Люблино,3
реки Десна,3
Радица-Крыловка,3
Щегловское участковое лесничество,3
д. Горбово,3
река Снова,3
река Ермишь,3
Шилово,3
город Михайлов,3
с. Заокское,3
Бутырки,3
Ярцевский район,3
д. Чамово,3
Орловка,3
р. Десна,3
Собинка,3
Елабуга,3
с. Русское,3
город Ивантеевка,3
Озеры,3
г. о. Подольск,3
Талдомский округ,3
Малоархангельский район,3
город Смоленск,3
Мордовский  округ,3
с. Слободка,3
Куркинский район,3
Тепло-Огаревский район,3
Высокое,3
Поповка,3
с. Бахта,3
мкр. Вересники,3
Дымково,3
Борисовка,3
Бежецкий район,3
Торжокский район,3
Климовское,3
с. Суордах,3
с. Томтор,3
с. Мирное,3
реки Шилка,3
р. Анадырь,3
Амурск,3
Эммер,3
Селихино,3
с. Найхин,3
п. Малая Хапсоль,3
Хорпинский,3
Мариинский Рейд,3
с. Эммер,3
с. Пивань,3
с. Яблочное,3
с. Шебунино,3
Кысыл Деревня,3
с. Деревцово,3
река Куренга,3
г. Биробиджан,3
с. Головино,3
лесопарковая зона,3
река Кыра,3
река Ага,3
с. Шишкино,3
с. Чирон,3
с. Урюпино,3
Чернышевский район,3
Красноармейский округ,3
южные и западные районы Приморского края,3
п. Западный,3
Пожарский,3
Партизанский ГО,3
Комиссарово,3
Екатериновка,3
Черниговский округ,3
Фурманово,3
Новомихайловка,3
п. Пластун,3
Красноярский край,3
Город Алдан,3
с. Хатассы,3
с. Пригородный,3
с. Капитоновка,3
Якутия,3
Зырянка,3
Анивский городской округ,3
Курилы,3
Озёрское,3
Макаровский городской округ,3
Томаринский городской округ,3
п. Ванино,3
реки Тунгуска,3
реки Амгунь,3
реки Кур,3
реки Уссури,3
округа,3
Облучье,3
Витим,3
Зарубино,3
Ливадия,3
подтопленные территории,3
Яконовка,3
Перевозная,3
Филипповка,3
Хоринцы,3
Солянка,3
Усть-Алданский,3
с. Колымское,3
с. Графский Берег,3
Андрюшкино,3
Усть-Янск,3
Новая Деревня,3
река Уюновка,3
Тамбовское,3
с. Чапаево,3
Шахтёрск,3
с. Белинское,3
остров Кабельный,3
остров Дачный,3
п. Чныррах,3
Батыревский район,3
п. Санчурск,3
река Джарлы,3
Соль-Илецкий район,3
Адамовский район,3
Мосты,3
р. Большой Иргиз,3
с. Канаевка,3
с. Атаевка,3
На территории 3 муниципальных районов,3
Новоузенский район,3
г Саратов,3
с. Крючковка,3
Ясный,3
Машиностроитель,3
Криолит,3
с. Большое Чураево,3
пос. Урал,3
Степановский сельсовет,3
с. Ивановка Вторая,3
с. Малаховка,3
с. Гамалеевка,3
город Заречный,3
Пермский  округ,3
с. Инзер,3
Учалы,3
город Сибай,3
Стерлибашевский район,3
Темниковский район,3
Кинель,3
Городской округ Шиханы,3
Радищевский район,3
Сергачский район,3
Сеченовский район,3
Перевозский район,3
Арзамасский район,3
Большемурашкинский район,3
п. Усть-Черная,3
п. Серебрянка,3
Большой Кинель,3
М-7 «Волга»,3
река Сейба,3
Тайшет,3
район Талнах,3
город Красноярск,3
Приангарье,3
Алтайский край,3
с. Трусово,3
Чарышское,3
г. Заринск,3
река Она,3
Чойское лесничество,3
Усть-Коксинское лесничество,3
Чемальское лесничество,3
Байгольское участковое лесничество,3
город Кемерово,3
Новокузнецкий район,3
Большеулуйский район,3
горы южных районов,3
г. Шагонар,3
г. Чадан,3
с. Сыстыг-Хем,3
с. Сайлыг,3
с. Бай-Хаак,3
п. Плодопитомник,3
Жигалово,3
с. Шошино,3
Иртыш,3
Степновский район,3
Буденновский район,3
г. Тырныауз,3
Невинномысск,3
Кизляр,3
Джейрахский  район,3
Георгиевский  округ,3
Шпаковский округ,3
Прикумье,3
с. Усть-Уса,3
с. Мутный Материк,3
р. Колва,3
река Летка,3
река Цильма,3
д. Верхнее Бугаево,3
д. Великий Двор,3
Виноградовский район,3
Бабаево,3
населённые пункты Белозерского округа,3
п. Сосновый берег,3
д. Бурцево,3
д. Захарово,3
город Апатиты,3
Малый Качгорт,3
река Кулой,3
п. Пасьва,3
р. Суда,3
д. Дудинское,3
Село Енотаевка,3
Котельниковский район,3
с. Фанагорийское,3
с. Тамань,3
Сарпинский район,3
город Гуково,3
заправка «Лукойл»,3
Каменск,3
М-4 «Дон»,3
Тацинское сельское поселение,3
Асбест,3
река Надым,3
микрорайон Осиновка,3
Кулацкий,3
микрорайон Нижняя Утятка,3
река Канаш,3
Звериноголовский,3
Каргапольский округ,3
Бараба,3
п. Кулацкий,3
Пышма,3
Алапаевское,3
Бердюжский  район,3
Викуловский  район,3
р. Ишим,3
Нефтеюганский район,3
Усть-Катавский городской округ,3
с. Бобры,3
с. Петровка,2
Орловский  округ,2
Заозерное,2
Цигломенский округ,2
Блиново,2
Янтиковский район,2
Спутник,2
Луостари,2
Лиинахамари,2
МКАД,2
реки Кия,2
р. Вага,2
р. Вель,2
Крестцы,2
Краснофарфорный,2
Рыльск,2
река Гур,2
река Нимелен,2
Гур,2
реки Кудепста,2
п. им. Горького,2
территория населённых пунктов,2
реки Иртыш,2
Яблочное,2
г. Великий Устюг,2
Городище,2
д. Дурницино,2
городской округ г. Бор,2
Лебяженское участковое лесничество,2
Ерзовка,2
г. Красногорск,2
автомобильная дорога «Москва - Санкт-Петербург»,2
Ленинский,2
Город Ахтубинск,2
с. Новолыбаево,2
Нерехта,2
г. Тольятти,2
полуостров Копылово,2
Североморск-3,2
Цимлянский район,2
р. Бурея,2
с. Гайтер,2
река Молома,2
лесах Смоленской области,2
Ключевское,2
д. Марьевка,2
река Кокшеньга,2
Комсомольский  район,2
Нанайский  район,2
Вознесенский район,2
Мамадышский  район,2
Можайский район,2
Репьевка,2
Янтиковский  округ,2
север Троицко-Печорского района,2
Кандалакшский район,2
п. Лоухи,2
Звенигород,2
с. Хоринцы,2
город Олекминск,2
Лукояновский округ,2
п. Вишневка,2
Знаменский район,2
Седельниковский район,2
город Тара,2
городской округ Сокольский,2
город Боровичи,2
с. Дедилово,2
Смоленская область,2
Благовещенский,2
с. Мельничное,2
Рощино,2
река Рогатка,2
Юрьянский район,2
Чкаловск,2
Чердынский городской округ,2
Юринский  район,2
Мамадышский район,2
с.п. Борское,2
Приволжье,2
с. Лопатино,2
город Бердск,2
Сегежский  район,2
территория Республики Коми,2
Климовское поселение,2
р. Дон,2
город Назрань,2
Вейделевский район,2
Поныровский район,2
Лотошинский район,2
Бежецкий  округ,2
д. Исаково,2
г. Дедовск,2
д. Зенькино,2
д. Бабкино,2
д. Ядромино,2
п. Озерпах,2
Раздольная,2
Выкса,2
Павлово,2
Лысково,2
Бор,2
Верхнеуслонский район,2
Балаковский  район,2
река Чепца,2
Алатырь,2
Кулундинский район,2
Марьяновский район,2
Каргасокский район,2
с. Тоора-Хем,2
остров Хабарка,2
остров Бревенник,2
Волга,2
степные и предгорные районы Крыма,2
Затобольный,2
Катайск,2
Туринск,2
д. Большое Седельниково,2
Солнцево,2
Холм-Жирковский район,2
Одинцовский район,2
Глазуновский район,2
Гирино,2
Петровское,2
р. Биджан,2
северная половина края,2
р. Дачная,2
с. Кировский,2
г. Лесозаводск,2
Залив Петра Великого,2
п. Оссора,2
Многоудобное,2
Смоляниново,2
Романовка,2
Анисимовка,2
река Черная,2
д. Ольгино,2
п. Голованово,2
город Выкса,2
Первомайск,2
Звёздный,2
г. Октябрьский,2
юго-восток республики,2
Нурлатский  район,2
федеральная трасса М-5,2
Бийский район,2
Бийск,2
Змеиногорский район,2
Туруханский район,2
горы Красноярского края,2
Ачхой-Мартановский район,2
отдельные западные районы,2
Надтеречный,2
территории в зоне риска,2
горы Адыгеи,2
Калач,2
Северский,2
Апшеронский,2
черноморское побережье,2
Успенский район,2
Новороссийск район,2
Сочи район,2
Шовгеновский район,2
Солнечная Долина,2
Средний Урал,2
городской округ Пелым,2
город Мегион,2
с. Дальзаводское,2
река Истра,2
Раменский городский округ,2
Сергиево-Посадский г.о.,2
юго-западные районы,2
Сасово,2
Сафоново,2
Угранский район Смоленской области,2
Бондарский округ,2
Сосновский  округ,2
Токарёвский  округ,2
Коломенский городской округ,2
Ликино-Дулево,2
п. Тором,2
река Манома,2
Тамбовский округ,2
Вилючинский городский округ,2
Карагинский,2
Олюторский,2
Пенжинский,2
Тигильский,2
Алеутский,2
Тихий океан,2
Карагинский район,2
юго-восточное побережье,2
юго-запад Приморского края,2
Арсеньевский городской округ,2
река Малиновка,2
реки южной половины края,2
реки Хасанского округа,2
Заиграевский район,2
с. Сотниково,2
г. Покровск,2
Углегорский городский округ,2
Бикин,2
южные районы Хабаровского края,2
Охотское море,2
Хабаровский край,2
Саровка,2
Лимонники,2
д. Остреево,2
Роговское участковое лесничество,2
Гусево,2
город Вятские Поляны,2
Сосновский район,2
крайние северные и восточные районы,2
Юсьва,2
Стерлибашево,2
Татышлинский район,2
Бижбулякский район,2
Кушнаренковский район,2
Бобровка,2
Нежинский сельсовет,2
Широковский,2
Нагорнский,2
Алейский район,2
Яровое,2
Чарышский район,2
Южные районы,2
автодорога Р-257 – Буйбинский перевал,2
Краснозерский район,2
Чулымский район,2
Омская область,2
малые реки,2
Бай-Тайгинский район,2
Оськино,2
северная половина,2
предгорные и горные районы КБР,2
неизвестно,2
городской округ Нальчик,2
Урванский район,2
Прохладненский,2
Терский,2
Лескенский,2
горы КЧР выше 3000 метров,2
горные районы КЧР выше 2000 метров,2
горные районы КЧР выше 1500 метров,2
северные и центральные районы,2
Прохладный,2
горы Карачаево-Черкесии,2
река Лохта,2
река Лодьма,2
Устюг,2
Волховский район,2
Великолукский район,2
Беломорский район,2
Медвежьегорский район,2
Муезерский район,2
Сортавальский район,2
юг республики,2
Нёнокса,2
Белое Озеро,2
Ягры,2
п. Хийтола,2
п. Элисенваара,2
п. Ильме,2
п. Хауккаваара,2
п. Ринтала,2
п. Вялимяки,2
южный Лиманский,2
Ахтубинский,2
Черноярский,2
Красноярский,2
северная часть Астраханской области,2
Светлоярский район,2
Абинское городское поселение,2
г. Анапа,2
река Лаба,2
Динское сельское поселение,2
Мичуринское сельское поселение,2
Нововеличковское сельское поселение,2
Южно-Кубанское сельское поселение,2
Пластуновское сельское поселение,2
Первореченское сельское поселение,2
Республика Адыгея,2
территория муниципального образования Крымский район,2
реки юго-восточной территории,2
республика Адыгея,2
река Уруп,2
Приморско-Ахтарск,2
Тамань,2
Таганрогский залив,2
Морозовское городское поселение,2
город Морозовск,2
Щучанский  округ,2
Юргамышский  округ,2
Невьянский городской округ,2
Кушвинский городской округ,2
Каменский городской округ,2
Татарстан,2
Шатровский район,2
Череповецкий округ,2
Заднее,2
Лисий Нос,2
Городецк,2
Дубки,2
река Иша,2
город Архангельск,2
Стрельна,2
Зеленоградский  округ,2
с. Тээли,2
с. Большая Боевка,2
г. Радужный,2
Суздальский район,2
Кантемировский район,2
Острогожск,2
Город Липецк,2
город Воскресенск,2
городской округ Домодедово,2
город Домодедово,2
город Зарайск,2
Сергиево-Посадский,2
г. Ступино,2
Милославский район,2
Гагаринский район,2
город Сафоново,2
г. Мичуринск,2
Бологое,2
город Новомосковск,2
Ярославский  район,2
г. Сельцо,2
Трубчевск,2
Дятьково,2
Клинцы,2
Рогнедино,2
Гусь-Хрустальный район,2
Селивановский район,2
Судогодский район,2
Камешковский район,2
Киржач,2
Малышево,2
Ручей,2
Клязьминское сельское поселение,2
д. Шевинская,2
с. Великово,2
аэропорт Внуково,2
аэропорт Домодедово,2
Добринка,2
Воскресенск район,2
Воскресенский район,2
Рязанский район,2
Рославльский район,2
город Венев,2
берега Камчатки,2
остров Попова,2
Веселый Яр,2
г. Долинск,2
Хилок,2
Ингода,2
Урульга,2
Черный Урюм,2
Могоча,2
Амазар,2
реки южных районов,2
реки юго-восточных районов,2
реки восточных районов,2
река Калар,2
г.Белогорск,2
город Шимановск,2
Ивановский округ,2
север области,2
ЕАО,2
Онон,2
Край,2
Крутоберёгово,2
Кавалеровский район,2
восточная половина края,2
г. Партизанск,2
юг центральных районов,2
Тернейский  округ,2
с. Корфовка,2
Хасанский  округ,2
Дальнереченский МР,2
Еравнинский район,2
Поронайский,2
Холмский,2
Невельский,2
Корсаковский,2
Анивский,2
Углегорский городской округ,2
Охотское побережье,2
Солнечный район,2
Амурский,2
Нанайский,2
Солнечный,2
долины рек,2
побережье Анадырского района,2
Чукотский МР,2
с. Уэлькаль,2
с. Конергино,2
с. Нутэпэльмен,2
с. Рыркайпий,2
с. Ванкарем,2
с. Амгуэма,2
Шелопугинский район,2
остров Русский,2
п. Раздольное,2
р. Борисовка,2
р. Комаровка,2
город Уссурийск,2
Новоалександровск,2
река Владимировка,2
город Корсаков,2
г. Невельск,2
Весточка,2
Тымовское,2
Славы,2
Белое,2
Чир-Унвд,2
Иркир,2
Амурский затон,2
Лаишевский район,2
Апастовский район,2
Еделево,2
Атяшевский район,2
Большеберезниковский район,2
Староалександровка,2
восточные районы Республики Татарстан,2
Наб. Челнинский городской округ,2
город Слободской,2
Даровской район,2
Кирово-Чепецкий район,2
Ардатовский округ,2
Кулебаки,2
Новосергиевский район,2
Саракташский район,2
Ясненский городской округ,2
Русско-Камешкирский сельсовет,2
Горнозаводский городской округ,2
центр края,2
юг Пермского края,2
Оханский городской округ,2
Сивинский  округ,2
трасса М-5,2
дороги,2
Дуванский район,2
город Стерлитамак,2
Ромодановский район,2
город Ижевск,2
Муслюмовский  район,2
Черемшанский район,2
п.Духовницкое,2
п.Светлый,2
Ртищевский  район,2
город Воткинск,2
п. Яр,2
с. Смолино,2
река Суундук,2
с. Учалы,2
г. Учалы,2
Канашский район,2
Ибресинский район,2
Яльчикский район,2
Чебоксарский округ,2
река Менза,2
река Урульга,2
Заларинский район,2
Киселевский городской округ,2
Мариинский  округ,2
город Юрга,2
Ачинский район,2
Эвенкийский МР,2
Сосновоборск,2
Курагинский район,2
Хакасия,2
Искитим,2
Новосибирский район,2
Сузунский район,2
озеро Телецкое,2
высокогорные районы,2
Кызылский район,2
Тоджинский район,2
город Абаза,2
р. Томь,2
Калтан,2
п. Белый Яр,2
город Туран,2
горные районы выше 2500 метров,2
Курчалойский,2
Серноводский,2
Джейрахский район,2
реки республики,2
горные районы Кабардино-Балкарской Республики,2
горы свыше 2500 метров,2
реки КЧР,2
с. Анди,2
с. Гагатли,2
город Махачкала,2
с. Чернолесское,2
река Томузловка,2
Советский округ,2
Гутатли,2
Ленинградская область,2
"городской округ ""Инта""",2
Онега,2
Вель,2
Пежма,2
восток,2
Верховажский район,2
Вологодская область,2
Шексна,2
Гурьевский  округ,2
с. Териберка,2
Беломорский,2
Калевальский,2
Кемский,2
Кондопожский,2
Лоухский,2
Медвежьегорский,2
Муезерский,2
Олонецкий,2
Питкярантский,2
Прионежский,2
Пряжинский,2
Пудожский,2
Сегежский,2
Сортавальский,2
Вуктылский,2
Республика Коми,2
МР «Удорский»,2
сельское поселение 'Выльгорт',2
"округ ""Усинск""",2
восток центральных районов,2
округ «Ухта»,2
п. Сосновка,2
Изьва,2
д.Летопала,2
д.Кушкопала,2
д.Ёркино,2
г. Кронштадт,2
городской парк,2
Лиманский,2
Юстинский,2
Кетченеры,2
Малодербетовский,2
Яшкульский,2
Ики-Бурульский,2
камышовые заросли,2
восточная половина Яшкульского района,2
г.Элиста,2
Республика Калмыкия,2
г.Волгоград,2
г. Кропоткин,2
река Мацеста,2
с. Прудовое,2
п. Гаспра,2
в крае,2
реки бассейна р.Кубань,2
г. Геленджик,2
Северская,2
Гиагинский район,2
город Ялта,2
Джанкойский район,2
Багаевское сельское поселение,2
Глубокинское поселение,2
Азов,2
Неклиновский район,2
Лазаревское,2
Катайский  округ,2
Мокроусовский,2
Верхотурский,2
Шалинский городской округ,2
Алапаевск,2
Пермский край,2
город Югорск,2
Обход города Челябинска,2
Долгодеревенское,2
Губкинский,2
Пруды,2
Косолапово,2
Нижний парк,2
Александрия,2
Бескесское лесничество,2
Аксаутское лесничество,2
Тебердинское лесничество,2
п. Шаста,2
пос. Александровская,2
жилой район Славянка,2
Лесная речка,2
Зарека,2
д. Ивановская,2
городской округ Ялта,2
Приморский округ,2
Казмаляр-Тагиркент,2
Поддорский  район,2
Шимский район,2
Зольский район,2
Карачаевское участковое лесничество,2
Петрозаводский городской округ,2
Опалиха,2
Жирятинский район,2
Дятьковский район,2
Погарский район,2
Унечский район,2
Пупково,2
Стечня,2
Суражское участковое лесничество,2
Синезёрское участковое лесничество,2
Синезерское участковое лесничество,2
квартал 52,2
Клетнянское лесничество,2
квартал 56,2
Стяжное,2
Холмовское участковое лесничество,2
Стяжновское участковое лесничество,2
д. Вельяшево,2
"СНТ ""Очаково""",2
"СНТ ""Мадиз""",2
СНТ 'Мадиз',2
СНТ 'Очаково',2
СНТ 'Веселево',2
Сенин-Пчельник,2
Шумашь,2
д. Терехово,2
Подвислово,2
д. Красная Яблонька,2
д. Шилово,2
р. Проня,2
Дмитриевка,2
река Тырница,2
населенный пункт Терехово,2
населенный пункт Летники,2
с. Фатьяновка,2
Гжатское участковое лесничество,2
лесной массив,2
Жарковский район,2
Тургиновское с/п,2
Губари,2
Макашевка,2
Будилово,2
Дунилово,2
Яковлевское участковое лесничество,2
Стародубский округ,2
Таруса,2
Красногорск район,2
городской округ Лыткарино,2
Красково,2
Томилино,2
Солнечногорье,2
Ершичский район,2
Сычевский район,2
Пушкарское,2
Новосадовское,2
парк Победы,2
город Обнинск,2
д. Шубино,2
Мещовский район,2
Октябрьский район Курской области,2
Липецкий  район,2
Ногинск,2
Захарово,2
город Егорьевск,2
д. Горки,2
Южный,2
Нахабино,2
Горки Ленинские,2
озёры,2
Подольск район,2
Сергиево-Посадский городской округ,2
городской округ Щёлково,2
Касимов,2
Краснинский район Смоленской области,2
Западнодвинский  округ,2
Донской,2
город Ефремов,2
Большая Тула,2
д. Владимировка,2
д. Карцево,2
г. Ясногорск,2
Санталовский,2
Теляково,2
Марково,2
Хотушь,2
Ревякино,2
Архангельское,2
Тормино,2
Ярославская область,2
Некоузский район,2
федеральная трасса М-55,2
с. Забайкальское,2
с. Усть-Ургал,2
город Комсомольск-на-Амуре,2
с. Удское,2
с. Верхняя Манома,2
с. Дачное,2
с. Старорусское,2
с. Усть-Черная,2
с. Нижние Куларки,2
с. Верхние Куларки,2
с. Новоцурухайтуй,2
Акшинский район,2
г. Краснокаменск,2
Краснокаменск,2
Южный берег Крыма,2
Сватай,2
Аргахтах,2
с. Победино,2
с. Новотроицкое,2
с. Калинино,2
п. Шерловая Гора,2
с. Шоноктуй,2
с. Шивки,2
Муравейка,2
Еловка,2
Село Черноручье,2
Село Валентин,2
Село Глазовка,2
Углекаменск,2
Партизанский город,2
Лиственная,2
Ракушка,2
Занадворовка,2
п. Рыбак,2
с. Борогонцы,2
с. Москальво,2
ЗАТО Межгорье,2
с. Мишуково,2
г. Навашинский,2
д. Доенки,2
Балахнинское районное лесничество,2
Кирилловское участковое лесничество,2
Ветлужский район,2
Кулебакское участковое лесничество,2
Володарское участковое лесничество,2
г. о. Семеновский,2
г. Первомайск,2
Степуринское участковое лесничество,2
Лесной пожар,2
с. Первомайское,2
с. Генеральское,2
Головизнинское участковое лесничество,2
Какможское участковое лесничество,2
Сардыкское участковое лесничество,2
Камбарское участковое лесничество,2
Нылгинское участковое лесничество,2
Измайловское участковое лесничество,2
Радищевское участковое лесничество,2
Светлинский район,2
Матвеевский район,2
Жилино,2
город Йошкар-Ола,2
Сернурский  район,2
Высокогорский  район,2
Черемшанский  район,2
Мелекесск,2
Сенгилеевский район,2
Сеченовский округ,2
город Абдулин,2
Новоорский район,2
городской округ,2
Бугуруслан,2
п. Берды,2
п. Ростоши,2
п. Куйбышева,2
с. Южный Урал,2
река Сура,2
река Сердоба,2
с.Бекетово,2
Агрыз,2
Бавлинский  район,2
Мамадыш,2
Красная Горка,2
Черновка,2
Русская Борковка,2
п. Сазанлей,2
Хвалынск,2
город Энгельс,2
река Лоза,2
Лоза,2
с. Красногорское,2
Вешкайма,2
Карсун,2
рабочий поселок Радищево,2
Тимерсянское сельское поселение,2
Чебоксарский  округ,2
Аликовский район,2
Порецкий район,2
Шумерлинский  округ,2
Знаменка,2
г. Омск,2
Большемуртинский район,2
Аржаан,2
Тарлаг,2
с. Алтайское,2
Усть-Козлуха,2
Алтайское,2
п. Лесной,2
Город Кемерово,2
Новокузнецкий округ,2
Усть-Кабырза,2
п. Усть-Мана,2
с. Овсянка,2
Кайеркан,2
Таскино,2
Памяти 13 Борцов,2
Элита,2
Кубеково,2
Арейское,2
п. Озёрный,2
Азовский район,2
город Турана,2
Суг-Аксы,2
Алдан-Маадыр,2
с. Ак-Тал,2
Кара-Холь,2
Шагонар,2
Пий-Хемский район,2
Терскол-Азау,2
Приэльбрусье,2
Шамильский район,2
с. Бабаюрт,2
Тляратинский район,2
г. Ставрополь,2
Ипатовский  округ,2
Буцрахский перевал,2
Георгиевск,2
река Шелонь,2
г. Котлас,2
г. Коряжма,2
д. Михеево,2
река Ик,2
Адмиралтейский район Санкт-Петербурга,2
Багратионовский  округ,2
река Варзуга,2
Новоржевский округ,2
с. Дутово,2
п. Шердино,2
д. Савинобор,2
"ГО ""Воркута""",2
Ижма район,2
Вельск,2
Цигломень,2
п. Динамо,2
Новая Охта,2
г. Пушкин,2
Светлогорский городской округ,2
Волхов,2
Демянский район,2
Пестовский район,2
Боровичский район,2
Хвойнинский район,2
ледяной дождь,2
снегопад,2
сильные снегопады,2
метели,2
река Мелек-Чесме,2
реки Республики Адыгея,2
с. Осыпной Бугор,2
г. Армавир,2
с. Яркое поле,2
с. Степное,2
речка,2
Цаган-Нур,2
Знаменское,2
Донецк,2
Высокий,2
Храпово,2
улица Гагарина,2
СНТ «Черёмушки-4»,2
микрорайон Черёмухово,2
Толстоверетино,2
несколько населённых пунктов,2
Староуткинск,2
Зюзельский,2
Мраморское,2
Верхний Тагил,2
Серовский тракт,2
с. Поддубровное,2
Пластовский район,2
Коротчаево,2
с. Красноселькуп,2
Внуково,2
Шереметьево,2
Псурь,2
Ходаринка,2
Белая Берёзка,2
Навлинский район,2
Учебно-опытное лесничество,2
Снежетьское участковое лесничество,2
Трубчевское лесничество,2
р. Нерль,2
Холуй,2
п. Лух,2
д. Новая,2
п. Холуй,2
г. Нея,2
г. Шарья,2
с. Боговарово,2
р. Ирдом,2
река Олым,2
Черепянь,2
Русская Казинка,2
Засновка,2
г. Усмань,2
г. Можайск,2
Маяк,2
Валищево,2
река Вожа,2
Огородниково,2
п. Борки,2
Кипенский,2
р. Пара,2
с. Береговое,2
д. Булгаково,2
д. Алексеевка,2
д. Верховье,2
Смоленское участковое лесничество,2
Колосово,2
г. Узловая,2
река Хопер,2
СНТ Коммунальник,2
р. Болва,2
Шебекинский городской округ,2
Муром,2
Гороховец,2
Меленки,2
сельские поселения,2
Гайтер,2
река Жиздра,2
река Угра,2
река в черте Кирова,2
Людиновский район,2
город Людиново,2
Золотухинский район,2
западные районы Курской области,2
Пристенский район,2
Елецкий район,2
Талица,2
Волоколамский район,2
СНТ «Пенсионер»,2
городской округ Зарайск,2
Снегири,2
п. Румянцево,2
Исаково,2
Топканово,2
д. Коробово,2
д. Мисайлово,2
Ленинский городский округ,2
г. о. Луховицы,2
Одинцовский,2
Орехово-Зуевский,2
Наро-Фоминский городский округ,2
д. Давыдово,2
г. Серпухов,2
подмосковный регион,2
Павлово-Посадский г. о.,2
Ливны,2
Колпнянский район,2
п. Советский,2
Скопин,2
р. Ока,2
город Гагарин,2
город Десногорск,2
Духовщинский район,2
Монастырщинский район,2
Холм-Жирковский район Смоленской области,2
город Рассказово,2
река Савала,2
Удомельский городской округ,2
Удомельский городский округ,2
город Донской,2
город Кимовск,2
Славный,2
Щекино,2
Рыбинский район,2
Ярославский район,2
Углич,2
город Углич,2
Новосадовское сельское поселение,2
Краснооктябрьское сельское поселение,2
улица Ленина,2
Карачев,2
Речица,2
Овстуг,2
Комаричский район,2
п. Дубровка,2
Севск,2
город Гусь-Хрустальный,2
п. Восход,2
ВДНХ,2
город Жуков,2
Залужье,2
Полотняный Завод,2
ул. Луначарского,2
р. Чахловица,2
п. Ганино,2
река Хлыновка,2
д. Засновка,2
Дон,2
с. Слемские Борки,2
д. Фруктовая,2
п. Заречный,2
Мценск,2
Кромской район,2
Дмитровский район,2
некоторые населенные пункты,2
Хотынецкий район,2
Покровский район,2
Родионово,2
Глинковский район,2
Слобода,2
река Лесной Воронеж,2
Максатихинский,2
Удомельский,2
Вышневолоцкий,2
Калязинский,2
Максатихинский район,2
Калязинский район,2
г. Бологое,2
Муниципальное образование Славный,2
г. Чекалин,2
Переславль-Залесский,2
п. Новостройка,2
п. Революционный,2
с. Норск,2
п. Тимофеевка,2
Пик Дружбы,2
с. Бетенкес,2
река Адыча,2
Бабушкинский наслег,2
Сайды,2
Юнкюр,2
Арылахский наслег,2
Сковородинский район,2
